type,origin,target,norm,transA,transB,m,n,k,nrhs,alpha,beta,nb,p,q,la,error,time(s),gflops,ref_time(s),ref_gflops,status
d,host,devices,1,notrans,notrans,8000,8000,8000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,0.126,8126.493,NA,NA,no_check
d,host,devices,1,notrans,notrans,8000,8000,8000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,0.134,7651.009,NA,NA,no_check
d,host,devices,1,notrans,notrans,8000,8000,8000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,1.216,842.394,NA,NA,no_check
d,host,devices,1,notrans,notrans,16000,16000,16000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,0.274,29862.605,NA,NA,no_check
d,host,devices,1,notrans,notrans,16000,16000,16000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,0.275,29762.925,NA,NA,no_check
d,host,devices,1,notrans,notrans,16000,16000,16000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,0.295,27747.863,NA,NA,no_check
d,host,devices,1,notrans,notrans,32000,32000,32000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,0.753,87067.321,NA,NA,no_check
d,host,devices,1,notrans,notrans,32000,32000,32000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,0.779,84082.732,NA,NA,no_check
d,host,devices,1,notrans,notrans,32000,32000,32000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,0.814,80526.856,NA,NA,no_check
d,host,devices,1,notrans,notrans,64000,64000,64000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,2.454,213663.977,NA,NA,no_check
d,host,devices,1,notrans,notrans,64000,64000,64000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,2.461,213008.722,NA,NA,no_check
d,host,devices,1,notrans,notrans,64000,64000,64000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,2.543,206165.842,NA,NA,no_check
d,host,devices,1,notrans,notrans,96000,96000,96000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,4.941,358109.017,NA,NA,no_check
d,host,devices,1,notrans,notrans,96000,96000,96000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,5.015,352867.981,NA,NA,no_check
d,host,devices,1,notrans,notrans,96000,96000,96000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,5.046,350666.878,NA,NA,no_check
d,host,devices,1,notrans,notrans,128000,128000,128000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,8.549,490599.183,NA,NA,no_check
d,host,devices,1,notrans,notrans,128000,128000,128000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,8.581,488782.835,NA,NA,no_check
d,host,devices,1,notrans,notrans,128000,128000,128000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,9.000,466059.596,NA,NA,no_check
d,host,devices,1,notrans,notrans,256000,256000,256000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,58.660,572019.863,NA,NA,no_check
d,host,devices,1,notrans,notrans,256000,256000,256000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,58.794,570711.852,NA,NA,no_check
d,host,devices,1,notrans,notrans,256000,256000,256000,10,3.14+1.41i,2.72+1.73i,896,8,4,1,NA,58.859,570079.606,NA,NA,no_check
