type, origin, target, gemm, go, A, B, C, transA, transB, m, n, k, alpha, beta, nb, p, q, la, error, time (s), gflop/s, ref time (s), ref gflop/s, status
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 1234, 1234, 1234, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 1.24e-16, 0.321, 11.697, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 1234, 1234, 1234, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 1.24e-16, 0.0243, 154.733, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 1234, 1234, 1234, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 1.27e-16, 0.0247, 152.000, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 8000, 8000, 8000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 1.15e-16, 1.138, 899.559, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 8000, 8000, 8000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 1.16e-16, 0.122, 8364.567, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 8000, 8000, 8000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 1.15e-16, 0.122, 8400.978, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 16000, 16000, 16000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 2.53e-16, 0.313, 26182.834, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 16000, 16000, 16000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 2.55e-16, 0.330, 24825.788, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 16000, 16000, 16000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 2.53e-16, 0.299, 27409.683, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 32000, 32000, 32000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 2.46e-16, 0.881, 74351.437, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 32000, 32000, 32000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 2.45e-16, 0.858, 76360.744, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 32000, 32000, 32000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 2.45e-16, 0.868, 75531.397, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 64000, 64000, 64000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 2.90e-16, 2.915, 179887.237, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 64000, 64000, 64000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 2.91e-16, 2.884, 181794.900, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 64000, 64000, 64000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 2.90e-16, 2.853, 183797.688, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 96000, 96000, 96000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 3.25e-16, 5.971, 296329.181, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 96000, 96000, 96000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 3.25e-16, 5.979, 295941.852, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 96000, 96000, 96000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 3.26e-16, 5.957, 297043.616, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 128000, 128000, 128000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 3.87e-16, 10.275, 408193.070, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 128000, 128000, 128000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 3.86e-16, 10.293, 407506.936, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 128000, 128000, 128000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 3.87e-16, 10.158, 412900.020, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 256000, 256000, 256000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 5.38e-16, 57.586, 582683.403, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 256000, 256000, 256000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 5.38e-16, 57.317, 585422.123, NA, NA, pass
d, host, dev, auto, col, 1, 1, 1, notrans, notrans, 256000, 256000, 256000, 3.1+1.4i, 2.7+1.7i, 896, 8, 4, 1, 5.38e-16, 57.555, 582996.672, NA, NA, pass
